time,n_epi,eff,effmax_episode,effmax_overall,episode_length,n_buffer,epsilon [%],count
2022_09_05 00:43:09,50,0.06527845232558996,0.14068444544584546,0.37221191313755103,128,6400,84.24090000000001,6400
2022_09_05 00:58:54,100,0.005908882062386898,0.20343293161385165,0.3986330063677635,128,12800,78.48089999999999,12800
2022_09_05 01:14:35,150,0.022925733447990662,0.21740424097998184,0.44707823437228167,128,19200,72.7209,19200
2022_09_05 01:30:17,200,0.03181793092545635,0.16623583135042239,0.44707823437228167,128,25600,66.96090000000001,25600
2022_09_05 01:45:58,250,0.03221549318533736,0.4165059875927225,0.46082870202407966,128,32000,61.200900000000004,32000
2022_09_05 02:01:28,300,0.011476955072965523,0.16456815012195417,0.46082870202407966,128,38400,55.44089999999999,38400
2022_09_05 02:16:55,350,0.04294456798794184,0.1429419633594759,0.48251450249654626,128,44800,49.6809,44800
2022_09_05 02:32:20,400,0.06841895164362574,0.2542654291056507,0.48251450249654626,128,51200,43.92090000000001,51200
2022_09_05 02:47:40,450,0.01907899096616121,0.14997102256705058,0.5664328218143538,128,57600,38.160900000000005,57600
2022_09_05 03:02:45,500,0.12380775808314452,0.28838682007094196,0.5664328218143538,128,64000,32.40090000000001,64000
2022_09_05 03:17:37,550,0.005908882062387808,0.2268255155392113,0.5664328218143538,128,70400,26.640900000000002,70400
2022_09_05 03:32:15,600,0.09128583963242211,0.35678193698496674,0.5664328218143538,128,76800,20.880900000000004,76800
2022_09_05 03:46:44,650,0.005908882062392579,0.4090959876873244,0.5664328218143538,128,83200,15.1209,83200
2022_09_05 04:01:04,700,0.012508766100898539,0.48733566011374807,0.5664328218143538,128,89600,9.360900000000004,89600
2022_09_05 04:14:57,750,0.005908882062391113,0.3852618178047926,0.6098081626221152,128,96000,3.6008999999999993,96000
2022_09_05 04:28:38,800,0.041870014719886814,0.5444781343966169,0.6098081626221152,128,100000,1.0,102400
2022_09_05 04:42:18,850,0.0907954260230458,0.3702323618279118,0.6098081626221152,128,100000,1.0,108800
2022_09_05 04:56:03,900,0.19644859450560315,0.40955237045605186,0.6098081626221152,128,100000,1.0,115200
2022_09_05 05:09:48,950,0.08793370865850403,0.4167643224578014,0.6098081626221152,128,100000,1.0,121600
2022_09_05 05:23:34,1000,0.12732573621536822,0.4888516445756793,0.6098081626221152,128,100000,1.0,128000
2022_09_05 05:37:23,1050,0.0059088820623915805,0.41516824011008774,0.6098081626221152,128,100000,1.0,134400
2022_09_05 05:51:19,1100,0.250695664467387,0.18888540236652138,0.6098081626221152,128,100000,1.0,140800
2022_09_05 06:05:12,1150,0.017788601867540645,0.31222468913436907,0.6098081626221152,128,100000,1.0,147200
2022_09_05 06:19:03,1200,0.08880337502261611,0.43660766768619386,0.6098081626221152,128,100000,1.0,153600
2022_09_05 06:32:57,1250,0.22424041577628734,0.4320529171957475,0.6098081626221152,128,100000,1.0,160000
2022_09_05 06:46:54,1300,0.013312667245464259,0.3414906382352846,0.6098081626221152,128,100000,1.0,166400
2022_09_05 07:00:46,1350,0.11134822354017969,0.2448919837452047,0.6098081626221152,128,100000,1.0,172800
2022_09_05 07:14:44,1400,0.13320111391823422,0.49606248177422996,0.6098081626221152,128,100000,1.0,179200
2022_09_05 07:28:41,1450,0.18976345444609075,0.24430735305242865,0.6284114467375462,128,100000,1.0,185600
2022_09_05 07:42:42,1500,0.20689006970722254,0.4487526191311411,0.6496763496119892,128,100000,1.0,192000
2022_09_05 07:56:40,1550,0.11341497506262503,0.14504278391422834,0.6496763496119892,128,100000,1.0,198400
