time,n_epi,eff,effmax_episode,effmax_overall,episode_length,n_buffer,epsilon [%],count
2022_09_03 14:21:19,50,0.021856561905588517,0.08746363817255856,0.4298948688622985,128,6400,84.24090000000001,6400
2022_09_03 14:32:16,100,0.10514539222823088,0.26252315635461504,0.4298948688622985,128,12800,78.48089999999999,12800
2022_09_03 14:43:09,150,0.02998896271433059,0.3223848676219855,0.48585767457711465,128,19200,72.7209,19200
2022_09_03 14:54:04,200,0.13727999628656334,0.09631278455917867,0.48585767457711465,128,25600,66.96090000000001,25600
2022_09_03 15:04:47,250,0.09337452061776744,0.18965953648243297,0.48585767457711465,128,32000,61.200900000000004,32000
2022_09_03 15:15:35,300,0.1573308557152268,0.19775897474631476,0.5091295818604754,128,38400,55.44089999999999,38400
2022_09_03 15:26:17,350,0.23398146381427393,0.1529638859398575,0.5091295818604754,128,44800,49.6809,44800
2022_09_03 15:37:00,400,0.30524005341595184,0.1415610292042494,0.5291685279636068,128,51200,43.92090000000001,51200
2022_09_03 15:47:36,450,0.2909709540497964,0.26494722636455614,0.5291685279636068,128,57600,38.160900000000005,57600
2022_09_03 15:58:12,500,0.10628117848807782,0.31776250622035085,0.6060798997979809,128,64000,32.40090000000001,64000
2022_09_03 16:08:34,550,0.2589704118761951,0.30964053127434726,0.6287345090545079,128,70400,26.640900000000002,70400
2022_09_03 16:18:40,600,0.005908882062391506,0.40302695026024155,0.6287345090545079,128,76800,20.880900000000004,76800
2022_09_03 16:28:41,650,0.3695915545823879,0.6649467957645349,0.6649467957645349,128,83200,15.1209,83200
2022_09_03 16:38:30,700,0.4891507442689113,0.4293666375308814,0.6649467957645349,128,89600,9.360900000000004,89600
2022_09_03 16:48:06,750,0.5489021195928456,0.6436188429721479,0.6649467957645349,128,96000,3.6008999999999993,96000
2022_09_03 16:57:23,800,0.5298235409152733,0.5338779551519364,0.6649467957645349,128,100000,1.0,102400
2022_09_03 17:06:39,850,0.40127286440869336,0.5689361716065736,0.6649467957645349,128,100000,1.0,108800
2022_09_03 17:16:01,900,0.3361115233059275,0.46678466857190726,0.6649467957645349,128,100000,1.0,115200
2022_09_03 17:25:16,950,0.5824904217242702,0.5567574213443495,0.6649467957645349,128,100000,1.0,121600
2022_09_03 17:34:38,1000,0.5804222222190373,0.5776353698232728,0.6649467957645349,128,100000,1.0,128000
2022_09_03 17:44:02,1050,0.04514497505285303,0.6113760619753656,0.6723824634134138,128,100000,1.0,134400
2022_09_03 17:53:27,1100,0.18798704675123987,0.5717930856887988,0.6723824634134138,128,100000,1.0,140800
2022_09_03 18:02:50,1150,0.19978420010417086,0.6091981458175222,0.6898483550194029,128,100000,1.0,147200
2022_09_03 18:12:22,1200,0.45955352129728894,0.5165421820363131,0.6898483550194029,128,100000,1.0,153600
2022_09_03 18:21:48,1250,0.5240357442124893,0.24183014543183876,0.6898483550194029,128,100000,1.0,160000
2022_09_03 18:31:17,1300,0.5727953098039719,0.4839856371863029,0.6898483550194029,128,100000,1.0,166400
2022_09_03 18:40:48,1350,0.231948407605155,0.5565202341537856,0.6898483550194029,128,100000,1.0,172800
2022_09_03 18:50:17,1400,0.16084445256728874,0.4876457903851184,0.6898483550194029,128,100000,1.0,179200
2022_09_03 18:59:49,1450,0.5294165057772956,0.41270530329689553,0.6898483550194029,128,100000,1.0,185600
2022_09_03 19:09:28,1500,0.5135059301848829,0.5472312796640816,0.6898483550194029,128,100000,1.0,192000
2022_09_03 19:19:07,1550,0.23295395453611648,0.5969417525531374,0.6898483550194029,128,100000,1.0,198400
