time,n_epi,eff,effmax_episode,effmax_overall,episode_length,n_buffer,epsilon [%],count
2022_09_04 10:17:42,50,0.15291490469432464,0.2193167789493674,0.4295681261781179,128,6400,84.24090000000001,6400
2022_09_04 10:44:34,100,0.4329377682817463,0.18866241443712758,0.4295681261781179,128,12800,78.48089999999999,12800
2022_09_04 11:11:29,150,0.12658131471146847,0.4966214372301072,0.5624218564335126,128,19200,72.7209,19200
2022_09_04 11:38:20,200,0.5233853104717617,0.5833600806677923,0.5993940300465608,128,25600,66.96090000000001,25600
2022_09_04 12:05:21,250,0.4385632983277034,0.5593433148710024,0.6872183494119459,128,32000,61.200900000000004,32000
2022_09_04 12:32:30,300,0.5771699946101033,0.47765543576988834,0.6997488028576226,128,38400,55.44089999999999,38400
2022_09_04 12:59:48,350,0.3689486363209822,0.5980433871381919,0.6997488028576226,128,44800,49.6809,44800
2022_09_04 13:27:08,400,0.4612290457382267,0.5853684859670952,0.7202150107079005,128,51200,43.92090000000001,51200
2022_09_04 13:54:38,450,0.515776297583265,0.7124765133003229,0.7360693341292862,128,57600,38.160900000000005,57600
2022_09_04 14:22:04,500,0.5805470270935252,0.640791267419448,0.7696867398121957,128,64000,32.40090000000001,64000
2022_09_04 14:49:23,550,0.3746778766029309,0.5694354984321922,0.7710754015339235,128,70400,26.640900000000002,70400
2022_09_04 15:16:45,600,0.37140568400158436,0.4693869760283831,0.7710754015339235,128,76800,20.880900000000004,76800
2022_09_04 15:44:02,650,0.5291878012805293,0.6409019565337128,0.7741699261893092,128,83200,15.1209,83200
2022_09_04 16:10:55,700,0.3032635237579004,0.6133219029564686,0.7741699261893092,128,89600,9.360900000000004,89600
2022_09_04 16:37:30,750,0.5636338783319789,0.5304963592898632,0.7741699261893092,128,96000,3.6008999999999993,96000
2022_09_04 17:03:54,800,0.4072111110349948,0.5158642548298762,0.7741699261893092,128,100000,1.0,102400
2022_09_04 17:29:43,850,0.34645264775001017,0.5685917407651381,0.7741699261893092,128,100000,1.0,108800
2022_09_04 17:55:52,900,0.4708068258528702,0.5509847962187862,0.7741699261893092,128,100000,1.0,115200
2022_09_04 18:22:19,950,0.535397656149552,0.5179641628536658,0.7741699261893092,128,100000,1.0,121600
2022_09_04 18:48:29,1000,0.4660947686450913,0.5906224332009296,0.7741699261893092,128,100000,1.0,128000
2022_09_04 19:14:58,1050,0.6305136941051686,0.6268607823394144,0.7741699261893092,128,100000,1.0,134400
2022_09_04 19:41:24,1100,0.34749623356291753,0.6136584819610563,0.7741699261893092,128,100000,1.0,140800
2022_09_04 20:07:54,1150,0.20419409094632338,0.6871687219957486,0.7741699261893092,128,100000,1.0,147200
2022_09_04 20:34:12,1200,0.5461405945805188,0.5803902013461519,0.7741699261893092,128,100000,1.0,153600
2022_09_04 21:00:49,1250,0.30292064146155534,0.5330650966516869,0.7741699261893092,128,100000,1.0,160000
2022_09_04 21:26:55,1300,0.5909717408515668,0.4402179529664413,0.7741699261893092,128,100000,1.0,166400
2022_09_04 21:53:26,1350,0.5034352464311596,0.65125458765157,0.7741699261893092,128,100000,1.0,172800
2022_09_04 22:19:56,1400,0.46233352722494875,0.4763293213371675,0.7741699261893092,128,100000,1.0,179200
2022_09_04 22:46:35,1450,0.2848931103127299,0.5636305968433422,0.7741699261893092,128,100000,1.0,185600
2022_09_04 23:13:28,1500,0.25033496524132715,0.5792132384981288,0.7741699261893092,128,100000,1.0,192000
2022_09_04 23:40:11,1550,0.3058216993057515,0.5988656586611824,0.7741699261893092,128,100000,1.0,198400
