time,n_epi,eff,effmax_episode,effmax_overall,episode_length,n_buffer,epsilon [%],count
2022_09_02 23:16:46,50,0.26996754856113075,0.13055686217292745,0.33808370515625125,128,6400,84.24090000000001,6400
2022_09_02 23:36:35,100,0.5595056968923507,0.20574983125232996,0.5283407128822543,128,12800,78.48089999999999,12800
2022_09_02 23:56:31,150,0.35948775614025663,0.2187671023608999,0.5817170842415712,128,19200,72.7209,19200
2022_09_03 00:16:31,200,0.25940534632920154,0.2645052723155526,0.5817170842415712,128,25600,66.96090000000001,25600
2022_09_03 00:36:35,250,0.4573782686353462,0.29885226403291887,0.5817170842415712,128,32000,61.200900000000004,32000
2022_09_03 00:56:41,300,0.4745636093870978,0.24980840979561555,0.5817170842415712,128,38400,55.44089999999999,38400
2022_09_03 01:16:54,350,0.517933638568286,0.4533305379902526,0.5817170842415712,128,44800,49.6809,44800
2022_09_03 01:37:18,400,0.5160386128371529,0.5161699068137247,0.5817170842415712,128,51200,43.92090000000001,51200
2022_09_03 01:57:41,450,0.5517565841539206,0.28658605200393383,0.595868167026102,128,57600,38.160900000000005,57600
2022_09_03 02:18:01,500,0.5879236237119878,0.5769974539034168,0.6583613745824417,128,64000,32.40090000000001,64000
2022_09_03 02:38:25,550,0.6140765311841719,0.5817009325018403,0.6709860439439025,128,70400,26.640900000000002,70400
2022_09_03 02:58:41,600,0.6479256056081475,0.5685043150500158,0.6788539367622364,128,76800,20.880900000000004,76800
2022_09_03 03:18:55,650,0.6323162223064159,0.5912658208800261,0.6919616938242045,128,83200,15.1209,83200
2022_09_03 03:39:01,700,0.6168182388532033,0.5764347882639068,0.6919616938242045,128,89600,9.360900000000004,89600
2022_09_03 03:59:11,750,0.5755967040554337,0.6507358974393697,0.6939488462469263,128,96000,3.6008999999999993,96000
2022_09_03 04:19:16,800,0.6030222284444249,0.6266178143236524,0.7150996446904667,128,100000,1.0,102400
2022_09_03 04:39:25,850,0.6153353982584914,0.6199378827498816,0.7150996446904667,128,100000,1.0,108800
2022_09_03 04:59:36,900,0.6372350334545602,0.5656894286968379,0.7211141451923306,128,100000,1.0,115200
2022_09_03 05:20:04,950,0.6276749645876045,0.6147649656292183,0.7211141451923306,128,100000,1.0,121600
2022_09_03 05:40:33,1000,0.6593795195003767,0.6555465788702376,0.7211141451923306,128,100000,1.0,128000
2022_09_03 06:01:05,1050,0.6127542250420949,0.6529312816148232,0.7766313721655177,128,100000,1.0,134400
2022_09_03 06:21:31,1100,0.5681189147679439,0.6477592318650635,0.7766313721655177,128,100000,1.0,140800
2022_09_03 06:42:12,1150,0.6660973043772421,0.6326657514695005,0.7766313721655177,128,100000,1.0,147200
2022_09_03 07:02:54,1200,0.6621933972090059,0.6244710217996641,0.7766313721655177,128,100000,1.0,153600
2022_09_03 07:23:41,1250,0.6911190722101435,0.6781405259818163,0.7766313721655177,128,100000,1.0,160000
2022_09_03 07:44:21,1300,0.6650563842138065,0.6566894365709302,0.7766313721655177,128,100000,1.0,166400
2022_09_03 08:04:57,1350,0.6011177697948233,0.6703670948820304,0.7766313721655177,128,100000,1.0,172800
2022_09_03 08:25:57,1400,0.69060084229548,0.6882868838808668,0.7766313721655177,128,100000,1.0,179200
2022_09_03 08:46:54,1450,0.6630875618081177,0.6673610181090218,0.7766313721655177,128,100000,1.0,185600
2022_09_03 09:07:59,1500,0.6834866175294502,0.6563107758698856,0.7766313721655177,128,100000,1.0,192000
2022_09_03 09:29:01,1550,0.6972620587322779,0.6972620587322779,0.7872500282612716,128,100000,1.0,198400
